TermTested,TermRostered,Subject,ASGType,NormsReferenceData,GrowthComparisonPeriod,WIStartTerm,WIEndTerm,OptionalGroupingCategory,OptionGroupingGroup,StudentID,StudentGrade,TestDate,StartScore,StartScoreSEM,StartPercentile,StartPercentileSE,StartTestDuration,EndTestDate,EndScore,EndScoreSEM,EndPercentile,EndPercentileSE,EndTestDuration,ProjectedScore,ProjectedGrowth,ObservedGrowth,ObservedGrowthSE,GrowthIndex,MetGrowthProjection?,ConditionalGrowthIndex,ConditionalGrowthPercentile,PercentageofStudentswhoMetorExceededtheirProjectedScore,PercentageofProjectedGrowthMet,CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores,CountofStudentswhoMetorExceededtheirProjectedGrowth,MedianConditionalGrowthPercentile,OptionalGroupingPercentageofStudentswhoMetorExceededtheirProjectedScore,OptionalGroupingOverallPercentageofProjectedScoreMet,OptionalGroupingCountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores,OptionalGroupingCountofStudentswhoMetorExceededtheirProjectedGrowth,OptionalGroupingMedianConditionalGrowthPercentile,StartGrowthandAchievement,EndGrowthandAchievement,ConditionalGrowthPercentileAxis,AchievementPercentileAxis
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0002,5,1/19/2018,234,2.9,97,1,30,5/24/2018,229,2.9,91,3,37,235,1,-5,4.1,-6,No,-1.1,13,53.8,33.3,13,7,48,,,,,,Low-G/High-A,Low-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0001,2,1/19/2018,197,2.9,81,5,46,5/24/2018,201,2.9,77,5,41,202,5,4,4.1,-1,No*,-0.2,42,16.7,-7.4,6,1,23,,,,,,Low-G/High-A,Low-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0004,5,1/19/2018,238,2.9,99,<1,36,5/25/2018,244,3,99,<1,43,239,1,6,4.2,5,Yes,1.2,88,57.1,228.6,7,4,68,,,,,,High-G/High-A,High-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,7,3,1/19/2018,205,2.9,74,6,42,5/24/2018,210,2.9,76,6,43,208,3,5,4.1,2,Yes*,0.3,62,53.8,33.3,13,7,48,,,,,,High-G/High-A,High-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0008,5,1/19/2018,227,2.9,91,3,65,5/25/2018,227,2.9,88,4,51,228,1,0,4.1,-1,No*,-0.2,42,53.8,33.3,13,7,48,,,,,,Low-G/High-A,Low-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0009,7,1/19/2018,234,2.9,91,3,33,5/25/2018,243,2.9,97,1,39,235,1,9,4.1,8,Yes,1.7,96,57.1,228.6,7,4,68,,,,,,High-G/High-A,High-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0020,4,1/19/2018,205,2.9,54,8,40,5/24/2018,212,2.9,65,8,53,208,3,7,4.1,4,Yes*,0.8,79,53.8,33.3,13,7,48,,,,,,High-G/High-A,High-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0019,4,1/19/2018,225,2.9,94,2,25,5/25/2018,226,3,92,3,42,226,1,1,4.2,0,Yes*,-0.1,48,53.8,33.3,13,7,48,,,,,,High-G/High-A,High-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0024,2,1/19/2018,178,3,36,8,21,5/24/2018,193,3,58,8,32,185,7,15,4.2,8,Yes,1.3,91,16.7,-7.4,6,1,23,,,,,,High-G/Low-A,High-G/High-A,50,50
Spring 2017-2018,Spring 2017-2018,Language Usage,Summary,2015,Winter 2018 - Spring 2018,17,32,NONE,,001-0025,4,1/19/2018,212,2.9,73,6,35,5/25/2018,219,2.9,82,5,36,214,2,7,4.1,5,Yes,0.9,83,53.8,33.3,13,7,48,,,,,,High-G/High-A,High-G/High-A,50,50
